iter	Passed	Remaining
0	134	134559
1	135	67775
2	136	45520
3	138	34364
4	139	27677
5	139	23190
6	140	19987
7	141	17589
8	142	15699
9	143	14188
10	144	12950
11	144	11919
12	145	11059
13	146	10310
14	147	9663
15	147	9094
16	148	8591
17	149	8152
18	150	7774
19	151	7422
20	152	7105
21	153	6806
22	153	6532
23	154	6280
24	155	6050
25	155	5837
26	156	5639
27	157	5458
28	157	5288
29	158	5131
30	159	4984
31	160	4846
32	161	4720
33	161	4596
34	162	4480
35	163	4373
36	164	4280
37	165	4187
38	166	4101
39	167	4015
40	168	3935
41	168	3854
42	169	3777
43	170	3703
44	171	3632
45	172	3568
46	172	3505
47	173	3444
48	174	3388
49	175	3330
50	176	3275
51	176	3222
52	177	3175
53	178	3132
54	179	3088
55	180	3045
56	181	3003
57	182	2961
58	183	2920
59	183	2879
60	184	2842
61	185	2806
62	186	2770
63	187	2735
64	187	2703
65	188	2671
66	189	2638
67	190	2607
68	190	2576
69	191	2549
70	193	2527
71	194	2503
72	195	2479
73	195	2452
74	196	2425
75	197	2400
76	198	2375
77	198	2351
78	199	2327
79	200	2305
80	201	2282
81	201	2261
82	202	2241
83	203	2219
84	204	2199
85	205	2179
86	206	2161
87	207	2145
88	207	2128
89	209	2115
90	209	2097
91	210	2079
92	211	2063
93	212	2046
94	213	2029
95	213	2013
96	214	1997
97	215	1981
98	216	1967
99	216	1952
100	217	1937
101	218	1922
102	219	1908
103	219	1894
104	220	1882
105	221	1871
106	223	1861
107	223	1849
108	224	1836
109	225	1823
110	226	1811
111	226	1798
112	227	1786
113	228	1774
114	229	1763
115	230	1753
116	230	1742
117	231	1731
118	232	1720
119	233	1709
120	233	1699
121	234	1691
122	236	1683
123	237	1675
124	238	1666
125	238	1657
126	239	1648
127	240	1639
128	241	1629
129	242	1619
130	242	1610
131	243	1600
132	244	1591
133	244	1582
134	245	1573
135	246	1564
136	247	1556
137	247	1547
138	248	1538
139	249	1530
140	250	1526
141	251	1518
142	252	1510
143	252	1502
144	253	1494
145	254	1486
146	254	1479
147	255	1471
148	256	1464
149	257	1457
150	257	1450
151	258	1443
152	259	1435
153	260	1428
154	260	1421
155	261	1414
156	262	1407
157	262	1400
158	264	1398
159	265	1394
160	266	1388
161	267	1381
162	267	1374
163	268	1368
164	268	1361
165	269	1354
166	270	1348
167	271	1342
168	271	1336
169	272	1330
170	273	1324
171	273	1318
172	274	1313
173	275	1307
174	276	1301
175	276	1295
176	277	1290
177	278	1286
178	279	1281
179	280	1276
180	280	1271
181	281	1265
182	282	1260
183	283	1255
184	283	1249
185	284	1244
186	285	1239
187	285	1234
188	286	1229
189	287	1224
190	287	1219
191	288	1214
192	289	1210
193	290	1205
194	290	1200
195	291	1196
196	292	1193
197	293	1189
198	294	1185
199	295	1180
200	296	1176
201	296	1172
202	297	1168
203	298	1164
204	299	1162
205	300	1158
206	301	1154
207	302	1150
208	302	1146
209	303	1142
210	304	1138
211	305	1134
212	306	1130
213	306	1126
214	307	1123
215	308	1119
216	309	1115
217	309	1111
218	310	1107
219	311	1103
220	311	1099
221	312	1096
222	313	1092
223	314	1088
224	314	1084
225	315	1081
226	316	1077
227	317	1073
228	317	1070
229	318	1066
230	319	1062
231	320	1059
232	320	1056
233	321	1052
234	322	1049
235	323	1046
